word,folio
hoy,['rose.north_center']
hoy,['rose.center_ring_1']
hoy,['88r.2']
hoy,['88r.14']
hoy,['89r2.labels_middle_2']
hoy,['101r1-r2.2']
hoy,['101r1-r2.5']
hoy,['101r1-r2.8']
hoy,['101r1-r2.10']
hoy,['101v2-v1.labels_1']
hoy,['101v2-v1.labels_2']
hoy,['101v2-v1.1']
hoy,['101v2-v1.2']
hoy,['102v2.labels_top_2']
oyam9,['73v.2nd_ring']
9!o,['101r1-r2.10']
omay,['68r1.labels_5']
yam9,['73v.2nd_ring']
aho,['72v3.2nd_ring']
aho,['100r.labels_2']
ayoh9,['67v1.center_11']
ayo,['57v.outer_ring']
ayo,['57v.3rd_ring']
ayo,['67r1.outer_ring']
ayo,['67v1.center_11']
ayo,['68v3.t_map_3']
ayo,['68v1.radial.2']
ayo,['70r2.4th_ring']
ayo,['71v.outer_ring']
ayo,['72r1.center_ring']
ayo,['75r.center_text']
ayo,['75v.label_text_2']
ayo,['78r.label_right_3']
ayo,['82r.label_bottom_1']
ayo,['83r.bottom_left_6']
ayo,['85r2.quad_4_3']
ayo,['86v4.outer_ring']
ayo,['rose.nwest_label_2']
ayo,['rose.seast_center_10']
ayo,['rose.seast_label_1']
ayo,['rose.neast_center_2']
ayo,['88v.labels_top']
ayo,['89r2.labels_middle']
ayo,['89r2.labels_bottom']
ayo,['99r.labels_middle_1']
ayo,['99v.labels_jars']
ayo,['99v.labels_top']
ayo,['99v.label_bottom']
ayo,['100r.labels_1']
ayo,['100r.labels_2']
ayo,['101v2-v1.labels_2']
ayo,['102r2.labels_bottom']
ayo,['102v2.labels_top_2']
9ho,['67r2.red_outer_ring']
9ho,['67r2.2nd_ring_6']
9ho,['68r1.sun']
9ho,['68v3.inner_ring']
9ho,['70v2.4th_ring']
9ho,['71r.outer_ring']
9ho,['72r3.3rd_ring']
9ho,['rose.neast_center_2']
9ho,['89r1.labels_bottom']
oh9,['67r1.outer_ring']
oh9,['67r1.center']
oh9,['67v2.radial_east']
oh9,['67v1.center_11']
oh9,['68r1.moon']
oh9,['68r2.sun']
oh9,['68r3.outer_ring']
oh9,['68v3.outer_ring']
oh9,['68v3.spiral_6']
oh9,['69r.radial_18']
oh9,['69r.2nd_ring']
oh9,['69v.2nd_ring']
oh9,['70r1.1st_ring']
oh9,['70r1.2nd_ring']
oh9,['70r2.outside_ring']
oh9,['70r2.center_ring']
oh9,['70v2.2nd_ring']
oh9,['71r.outer_ring']
oh9,['72r2.2nd_ring']
oh9,['72v3.2nd_ring']
